max(u),Time
298.15,0
318.016,60
324.667,120
328.969,180
331.403,240
333.356,300
335.291,360
337.155,420
338.9,480
340.536,540
342.083,600
343.549,660
344.93,720
346.221,780
347.424,840
348.546,900
349.598,960
350.585,1020
351.515,1080
352.39,1140
353.218,1200
354.006,1260
354.76,1320
355.483,1380
356.178,1440
356.847,1500
357.494,1560
358.123,1620
358.738,1680
359.341,1740
359.936,1800
360.527,1860
361.122,1920
361.733,1980
362.385,2040
363.141,2100
364.079,2160
365.22,2220
366.549,2280
368.043,2340
369.694,2400
371.517,2460
373.564,2520
375.931,2580
378.601,2640
381.491,2700
384.518,2760
387.624,2820
390.774,2880
393.946,2940
397.131,3000
400.323,3060
403.517,3120
406.713,3180
409.91,3240
413.108,3300
416.306,3360
419.503,3420
422.701,3480
425.899,3540
429.097,3600
432.295,3660
435.493,3720
438.691,3780
441.889,3840
445.087,3900
448.285,3960
451.483,4020
454.681,4080
457.879,4140
461.077,4200
464.275,4260
467.473,4320
470.671,4380
473.869,4440
477.067,4500
480.265,4560
483.463,4620
486.661,4680
489.859,4740
493.057,4800
496.255,4860
499.452,4920
502.65,4980
505.848,5040
509.046,5100
512.244,5160
515.442,5220
518.64,5280
521.838,5340
525.036,5400
528.234,5460
531.432,5520
534.63,5580
537.828,5640
541.026,5700
544.224,5760
547.422,5820
550.62,5880
553.818,5940
557.016,6000
560.214,6060
563.412,6120
566.61,6180
569.808,6240
573.006,6300
576.204,6360
579.402,6420
582.6,6480
585.798,6540
588.996,6600
592.193,6660
595.391,6720
598.589,6780
601.787,6840
604.985,6900
608.183,6960
611.381,7020
614.579,7080
617.777,7140
620.975,7200
