max(u),Time
298.15,0
316.452,60
322.522,120
326.763,180
329.943,240
331.994,300
333.92,360
335.793,420
337.495,480
338.998,540
340.348,600
341.596,660
342.774,720
343.896,780
344.962,840
345.972,900
346.93,960
347.839,1020
348.705,1080
349.532,1140
350.327,1200
351.092,1260
351.829,1320
352.542,1380
353.232,1440
353.901,1500
354.553,1560
355.191,1620
355.818,1680
356.438,1740
357.056,1800
357.677,1860
358.308,1920
358.96,1980
359.65,2040
360.434,2100
361.4,2160
362.577,2220
363.945,2280
365.481,2340
367.175,2400
369.035,2460
371.104,2520
373.463,2580
376.11,2640
378.978,2700
381.988,2760
385.082,2820
388.224,2880
391.392,2940
394.574,3000
397.763,3060
400.957,3120
404.152,3180
407.349,3240
410.547,3300
413.744,3360
416.942,3420
420.14,3480
423.338,3540
426.536,3600
429.734,3660
432.932,3720
436.13,3780
439.328,3840
442.525,3900
445.723,3960
448.921,4020
452.119,4080
455.317,4140
458.515,4200
461.713,4260
464.911,4320
468.109,4380
471.307,4440
474.505,4500
477.703,4560
480.901,4620
484.099,4680
487.297,4740
490.495,4800
493.693,4860
496.891,4920
500.089,4980
503.287,5040
506.485,5100
509.683,5160
512.881,5220
516.079,5280
519.277,5340
522.475,5400
525.673,5460
528.871,5520
532.069,5580
535.266,5640
538.464,5700
541.662,5760
544.86,5820
548.058,5880
551.256,5940
554.454,6000
557.652,6060
560.85,6120
564.048,6180
567.246,6240
570.444,6300
573.642,6360
576.84,6420
580.038,6480
583.236,6540
586.434,6600
589.632,6660
592.83,6720
596.028,6780
599.226,6840
602.424,6900
605.622,6960
608.82,7020
612.018,7080
615.216,7140
618.414,7200
