max(u),Time
298.15,0
316.323,60
322.567,120
327.04,180
330.263,240
332.336,300
334.311,360
336.182,420
337.832,480
339.252,540
340.489,600
341.601,660
342.637,720
343.636,780
344.62,840
345.6,900
346.576,960
347.547,1020
348.51,1080
349.462,1140
350.404,1200
351.337,1260
352.265,1320
353.187,1380
354.102,1440
355.006,1500
355.901,1560
356.797,1620
357.711,1680
358.639,1740
359.573,1800
360.506,1860
361.438,1920
362.37,1980
363.309,2040
364.269,2100
365.295,2160
366.448,2220
367.755,2280
369.206,2340
370.784,2400
372.477,2460
374.295,2520
376.311,2580
378.552,2640
381.012,2700
383.676,2760
386.511,2820
389.473,2880
392.521,2940
395.625,3000
398.765,3060
401.927,3120
405.103,3180
408.287,3240
411.476,3300
414.668,3360
417.862,3420
421.057,3480
424.253,3540
427.45,3600
430.647,3660
433.844,3720
437.042,3780
440.239,3840
443.437,3900
446.635,3960
449.832,4020
453.03,4080
456.228,4140
459.426,4200
462.624,4260
465.822,4320
469.02,4380
472.218,4440
475.416,4500
478.614,4560
481.811,4620
485.009,4680
488.207,4740
491.405,4800
494.603,4860
497.801,4920
500.999,4980
504.197,5040
507.395,5100
510.593,5160
513.791,5220
516.989,5280
520.187,5340
523.385,5400
526.583,5460
529.781,5520
532.979,5580
536.177,5640
539.375,5700
542.573,5760
545.771,5820
548.969,5880
552.167,5940
555.365,6000
558.563,6060
561.761,6120
564.959,6180
568.156,6240
571.354,6300
574.552,6360
577.75,6420
580.948,6480
584.146,6540
587.344,6600
590.542,6660
593.74,6720
596.938,6780
600.136,6840
603.334,6900
606.532,6960
609.73,7020
612.928,7080
616.126,7140
619.324,7200
